Date,Brand,Car Model,Value,Salesperson
01/09/2024,Ford,Ranger,5175,Christopher Clark
01/09/2024,Tesla,Model D Premium Plus,37316,Christopher Clark
03/09/2024,Jeep,Compass,12538,Christopher Clark
03/09/2024,Ford,Mercury,26706,Christopher Clark
06/09/2024,Jeep,Ranger,18413,Michael Garcia
08/09/2024,Jeep,Ranger,26478,David Johnson
10/09/2024,Jeep,Compass,57788,Michael Garcia
11/09/2024,Subaru,Outback,20979,Sarah Jones
11/09/2024,Ford,Mercury,36495,Christopher Clark
12/09/2024,Ford,Ranger,42233,Christopher Clark
12/09/2024,Ford,Ranger,43229,Sarah Jones
12/09/2024,Ford,Mercury,20288,David Johnson
14/09/2024,Subaru,Outback,23100,Sarah Jones
15/09/2024,Tesla,Model D Premium Plus,40431,Sarah Jones
16/09/2024,Ford,Ranger,8396,Michael Garcia
17/09/2024,Jeep,Compass,29340,Michael Garcia
18/09/2024,Ford,Mercury,7606,Christopher Clark
19/09/2024,Tesla,Model D Premium Plus,32269,Michael Garcia
20/09/2024,Jeep,Compass,33205,David Johnson
20/09/2024,Ford,Ranger,18845,David Johnson
22/09/2024,Jeep,Compass,6055,Christopher Clark
22/09/2024,Subaru,Outback,35570,David Johnson
23/09/2024,Subaru,Outback,37626,David Johnson
24/09/2024,Ford,Mercury,15304,Christopher Clark
24/09/2024,Ford,Ranger,17499,Christopher Clark
25/09/2024,Subaru,Outback,30320,Sarah Jones
28/09/2024,Subaru,Outback,28205,Sarah Jones
28/09/2024,Jeep,Compass,30904,David Johnson
03/10/2024,Tesla,Model D Premium Plus,25564,David Johnson
06/10/2024,Subaru,Outback,38364,Michael Garcia
08/10/2024,Tesla,Model D Premium Plus,49335,Sarah Jones
11/10/2024,Ford,Mercury,23079,David Johnson
11/10/2024,Ford,Ranger,6859,Christopher Clark
12/10/2024,Ford,Mercury,28162,David Johnson
13/10/2024,Tesla,Model D Premium Plus,31812,David Johnson
13/10/2024,Ford,Mercury,12263,Christopher Clark
14/10/2024,Tesla,Model D Premium Plus,19244,David Johnson
16/10/2024,Ford,Mercury,22691,Michael Garcia
16/10/2024,Jeep,Compass,30158,Sarah Jones
17/10/2024,Ford,Mercury,16614,Christopher Clark
18/10/2024,Subaru,Outback,37378,Christopher Clark
19/10/2024,Subaru,Outback,30997,Christopher Clark
19/10/2024,Ford,Ranger,56158,Christopher Clark
19/10/2024,Ford,Ranger,18382,Sarah Jones
20/10/2024,Jeep,Compass,43444,Sarah Jones
23/10/2024,Tesla,Model D Premium Plus,59840,David Johnson
23/10/2024,Subaru,Outback,50319,David Johnson
26/10/2024,Jeep,Compass,31363,Christopher Clark
27/10/2024,Ford,Mercury,20997,Michael Garcia
28/10/2024,Ford,Ranger,7075,David Johnson
28/10/2024,Subaru,Outback,27715,Michael Garcia
